机场	起飞/到达	航线名
鄂尔多斯伊金霍洛机场	23:50	鄂尔多斯到北京
北京首都国际机场	1:20	
鄂尔多斯伊金霍洛机场	23:50	鄂尔多斯到北京
北京首都国际机场	1:20	
二连浩特赛乌苏国际机场	23:45	二连浩特到北京
北京首都国际机场	1:15	
海拉尔呼伦贝尔东山国际机场	23:30	海拉尔到北京
北京首都国际机场	1:55	
杭州萧山国际机场	23:30	杭州到北京
北京首都国际机场	1:50	
海拉尔呼伦贝尔东山国际机场	23:30	海拉尔到北京
北京首都国际机场	1:55	
大连周水子国际机场	23:05	大连到北京
北京首都国际机场	0:25	
连云港白塔埠机场	23:00	连云港到北京
北京首都国际机场	0:35	
威海大水泊机场	22:55	威海到北京
北京首都国际机场	0:35	
威海大水泊机场	22:55	威海到北京
北京首都国际机场	0:35	
临沂沭埠岭机场	22:50	临沂到北京
北京首都国际机场	0:30	
东营胜利机场	22:50	东营到北京
北京首都国际机场	0:05	
包头东河机场	22:45	包头到北京
北京首都国际机场	0:20	
包头东河机场	22:45	包头到北京
北京首都国际机场	0:20	
兰州中川机场	22:40	兰州到北京
北京首都国际机场	0:45	
西安咸阳国际机场	22:40	西安到北京
北京首都国际机场	0:30	
兰州中川机场	22:40	兰州到北京
北京首都国际机场	0:45	
张家界荷花机场	22:35	张家界到北京
北京首都国际机场	1:10	
东营胜利机场	22:35	东营到北京
北京首都国际机场	23:50	
张家界荷花机场	22:35	张家界到北京
北京首都国际机场	1:10	
西宁曹家堡机场	7:10	西宁到北京
北京首都国际机场	9:25	
延吉朝阳川机场	7:10	延吉到北京
北京首都国际机场	9:35	
十堰武当山机场	7:15	十堰到北京
北京首都国际机场	9:15	
十堰武当山机场	7:15	十堰到北京
北京首都国际机场	9:15	
上海虹桥国际机场	7:20	上海到北京
北京首都国际机场	12:00	
昆明长水国际机场	7:20	昆明到北京
北京首都国际机场	10:30	
昆明长水国际机场	7:20	昆明到北京
北京首都国际机场	10:45	
烟台蓬莱国际机场	7:20	烟台到北京
北京首都国际机场	8:40	
无锡苏南硕放国际机场	7:20	无锡到北京
北京首都国际机场	9:25	
昆明长水国际机场	7:20	昆明到北京
北京首都国际机场	10:30	
昆明长水国际机场	7:20	昆明到北京
北京首都国际机场	10:45	
无锡苏南硕放国际机场	7:20	无锡到北京
北京首都国际机场	9:25	
昆明长水国际机场	7:20	昆明到北京
北京首都国际机场	10:30	
昆明长水国际机场	7:20	昆明到北京
北京首都国际机场	10:45	
烟台蓬莱国际机场	7:20	烟台到北京
北京首都国际机场	8:40	
昆明长水国际机场	7:20	昆明到北京
北京首都国际机场	10:30	
昆明长水国际机场	7:20	昆明到北京
北京首都国际机场	10:45	
大庆萨尔图机场　	7:25	大庆到北京
北京首都国际机场	9:35	
太原武宿国际机场	7:25	太原到北京
北京首都国际机场	8:45	
大庆萨尔图机场　	7:25	大庆到北京
北京首都国际机场	9:35	
青岛流亭国际机场	7:25	青岛到北京
北京首都国际机场	8:55	
青岛流亭国际机场	7:25	青岛到北京
北京首都国际机场	9:05	
青岛流亭国际机场	7:25	青岛到北京
北京首都国际机场	9:10	
大庆萨尔图机场　	7:25	大庆到北京
北京首都国际机场	9:35	
青岛流亭国际机场	7:25	青岛到北京
北京首都国际机场	8:55	
青岛流亭国际机场	7:25	青岛到北京
北京首都国际机场	9:05	
青岛流亭国际机场	7:25	青岛到北京
北京首都国际机场	9:10	
太原武宿国际机场	7:25	太原到北京
北京首都国际机场	8:45	
